PostDate,Description,Debits,Credits,Balance
09/01/2018,Beginning Balance,,,"$18,805.47"
09/04/2018,SignaturePOSDebit09/02MDBALTIMOREGIANTFOOD INCSEQ#071582,$57.48,,"$18,747.99"
09/04/2018,NationstardbaMrCooperXXxxxx6179,"$1,989.60",,"$16,758.39"
09/05/2018,HMSWARRANTY80024736805829389,$42.99,,"$16,715.40"
09/05/2018,SAMSCLUBMCONLINEPMTCKF426104254POS,"$4,671.42",,"$12,043.98"
09/05/2018,DISCOVERBANKETRANSFER,"$8,212.00",,"$3,831.98"
09/06/2018,BLTMOREGASELECONLINEPMT,$160.75,,"$3,671.23"
09/06/2018,AMAZON,$170.00,,"$3,501.23"
09/06/2018,DEVONSHIREIICOCONSCPBC5198,$195.00,,"$3,306.23"
09/07/2018,DEPOSIT,,$653.25,"$3,959.48"
09/07/2018,TARGETONLINEPMT,$88.59,,"$3,870.89"
09/10/2018,ATMWithdrawal09/07MDBALTIMORE10101 PHILDELPHIARDSEQ#008838,$180.00,,"$3,690.89"
09/10/2018,SignaturePOSDebit09/08MDBALTIMOREGIANTFOOD,$70.11,,"$3,620.78"
09/10/2018,LAFITNESS,$12.98,,"$3,607.80"
09/11/2018,AT&TMOBILITYONLINEPMT,$116.22,,"$3,491.58"
09/14/2018,DEPOSIT,,$606.62,"$4,098.20"
09/14/2018,DIRECTDEP,,"$3,033.33","$7,131.53"
09/14/2018,SignaturePOSDebit09/13MDBALTIMOREGIANT,$19.86,,"$7,111.67"
09/17/2018,ATMWithdrawal09/15WVINWOOD MARTINSBURG-INWOOD,$400.00,,"$6,711.67"
09/17/2018,SignaturePOSDebit09/16MDBALTIMOREGIANT,$14.06,,"$6,697.61"
